11102, 4000 5996 2 1 1;
11103, 4000 5999 2 -1 0;
11104, 4000 5997 2 0 0;
11113, 4000 6003 2 -1 1;
11119, 4000 6001 2 0 1;
11101, 4000 5999 2 1 0;
11114, 4000 6002 2 -1 0;
11116, 4000 6000 2 0 1;
11121, 4000 5998 2 1 0;
11106, 4000 5995 2 1 1;
11107, 4000 5998 2 -1 0;
11117, 4000 5995 3 -1 0;
11105, 4000 5999 2 0 0;
11122, 4000 5996 2 0 0;
11120, 4000 5994 2 1 0;
11099, 4000 5997 2 -1 0;
11118, 4000 5995 2 0 0;
11098, 4000 5993 2 1 0;
11110, 4000 5996 2 -1 0;
11109, 4000 5994 2 0 0;
11044, 4000 5992 2 1 0;
10097, 4003 5997 2 1 0;
10115, 4003 6000 2 -1 1;
10100, 4003 5998 2 0 0;
10102, 4003 5996 2 1 1;
10103, 4003 5999 2 -1 0;
10104, 4003 5997 2 0 1;
10113, 4003 6003 2 -1 0;
10119, 4003 6001 2 0 0;
10101, 4003 5999 2 1 1;
10114, 4003 6002 2 -1 1;
10116, 4003 6000 2 0 0;
10121, 4003 5998 2 1 1;
10106, 4003 5995 2 1 0;
10107, 4003 5998 2 -1 1;
10117, 4003 5995 3 -1 0;
10105, 4003 5999 2 0 1;
10122, 4003 5996 2 0 1;
10120, 4003 5994 2 1 0;
10099, 4003 5997 2 -1 0;
10118, 4003 5995 2 0 1;
10098, 4003 5993 2 1 0;
10110, 4003 5996 2 -1 0;
10109, 4003 5994 2 0 0;
10044, 4003 5992 2 1 0;
8097, 4002 5997 2 1 1;
8115, 4002 6000 2 -1 1;
8100, 4002 5998 2 0 0;
8102, 4002 5996 2 1 0;
8103, 4002 5999 2 -1 1;
8104, 4002 5997 2 0 1;
8113, 4002 6003 2 -1 1;
8119, 4002 6001 2 0 0;
8101, 4002 5999 2 1 0;
8114, 4002 6002 2 -1 1;
8116, 4002 6000 2 0 0;
8121, 4002 5998 2 1 0;
8106, 4002 5995 2 1 1;
8107, 4002 5998 2 -1 0;
8117, 4002 5995 3 -1 0;
8105, 4002 5999 2 0 0;
8122, 4002 5996 2 0 0;
8120, 4002 5994 2 1 1;
8099, 4002 5997 2 -1 0;
8118, 4002 5995 2 0 1;
8098, 4002 5993 2 1 0;
8110, 4002 5996 2 -1 0;
8109, 4002 5994 2 0 0;
8044, 4002 5992 2 1 0;
9097, 4003 5997 2 1 0;
9115, 4003 6000 2 -1 1;
9100, 4003 5998 2 0 0;
9102, 4003 5996 2 1 1;
9103, 4003 5999 2 -1 0;
9104, 4003 5997 2 0 1;
9113, 4003 6003 2 -1 0;
9119, 4003 6001 2 0 0;
9101, 4003 5999 2 1 1;
9114, 4003 6002 2 -1 1;
9116, 4003 6000 2 0 0;
9121, 4003 5998 2 1 1;
9106, 4003 5995 2 1 0;
9107, 4003 5998 2 -1 1;
9117, 4003 5995 3 -1 0;
9105, 4003 5999 2 0 1;
9122, 4003 5996 2 0 1;
9120, 4003 5994 2 1 0;
9099, 4003 5997 2 -1 0;
9118, 4003 5995 2 0 1;
9098, 4003 5993 2 1 0;
9110, 4003 5996 2 -1 0;
9109, 4003 5994 2 0 0;
9044, 4003 5992 2 1 0;
6097, 4002 6002 2 1 1;
6115, 4002 6005 2 -1 1;
6100, 4002 5998 2 0 0;
6102, 4002 6001 2 1 1;
6103, 4002 6004 2 -1 1;
6104, 4002 6002 2 0 1;
6113, 4002 6008 2 -1 0;
6119, 4002 6006 2 0 0;
